Circuit Name,Substation Name,Date Last Update,Plan Year,System Name,A-bank,Circuit Available Load Capacity 2024,Circuit Available Load Capacity 2025,Circuit Available Load Capacity 2026,Circuit Available Load Capacity 2027,Circuit Available Load Capacity 2028,Substation Available Load Capacity 2024,Substation Available Load Capacity 2025,Substation Available Load Capacity 2026,Substation Available Load Capacity 2027,Substation Available Load Capacity 2028,A-bank Available Load Capacity 2024,A-bank Available Load Capacity 2025,A-bank Available Load Capacity 2026,A-bank Available Load Capacity 2027,A-bank Available Load Capacity 2028,circuit_voltage,org_alc_year1,org_alc_year2,org_alc_year3,org_alc_year4,org_alc_year5,ckt_capacity_y1,ckt_capacity_y2,ckt_capacity_y3,ckt_capacity_y4,ckt_capacity_y5,subst_capacity_y1,subst_capacity_y2,subst_capacity_y3,subst_capacity_y4,subst_capacity_y5,subst_org_alc_year1,subst_org_alc_year2,subst_org_alc_year3,subst_org_alc_year4,subst_org_alc_year5,Subtrans,subtrans_alc_year1,subtrans_alc_year2,subtrans_alc_year3,subtrans_alc_year4,subtrans_alc_year5,y1ckt_f,y2ckt_f,y3ckt_f,y4ckt_f,y5ckt_f,y1sub_f,y2sub_f,y3sub_f,y4sub_f,y5sub_f,y1subt_f,y2subt_f,y3subt_f,y4subt_f,y5subt_f,y1abank_f,y2abank_f,y3abank_f,y4abank_f,y5abank_f,y1ckt_sub_f,y2ckt_sub_f,y3ckt_sub_f,y4ckt_sub_f,y5ckt_sub_f,y1ckt_subt_f,y2ckt_subt_f,y3ckt_subt_f,y4ckt_subt_f,y5ckt_subt_f,y1ckt_abank_f,y2ckt_abank_f,y3ckt_abank_f,y4ckt_abank_f,y5ckt_abank_f,y1sub_subt_f,y2sub_subt_f,y3sub_subt_f,y4sub_subt_f,y5sub_subt_f,y1sub_abank_f,y2sub_abank_f,y3sub_abank_f,y4sub_abank_f,y5sub_abank_f,y1subt_abank_f,y2subt_abank_f,y3subt_abank_f,y4subt_abank_f,y5subt_abank_f,y1ckt_sub_subt_f,y2ckt_sub_subt_f,y3ckt_sub_subt_f,y4ckt_sub_subt_f,y5ckt_sub_subt_f, ,y2ckt_sub_abank_f,y3ckt_sub_abank_f,y4ckt_sub_abank_f,y5ckt_sub_abank_f,y1ckt_subt_abank_f,y2ckt_subt_abank_f,y3ckt_subt_abank_f,y4ckt_subt_abank_f,y5ckt_subt_abank_f,y1sub_subt_abank_f,y2sub_subt_abank_f,y3sub_subt_abank_f,y4sub_subt_abank_f,y5sub_subt_abank_f,y1ckt_sub_subt_abank_f,y2ckt_sub_subt_abank_f,y3ckt_sub_subt_abank_f,y4ckt_sub_subt_abank_f,y5ckt_sub_subt_abank_f,Identifier,Duct Bank Circuit - Grid Constraint,Transmission- Grid Constraint,OBJECTID,SHAPE__Length
Orchid,Rolling Hills 66/4 kV,02/24/2026,2025,La Fresa 220/66,La Fresa 'B' 220/66,0.9,0.8,0.8,0.7,0.7,9.000000,2.000000,1.800000,1.600000,1.300000,131.73,121.91,120.47,118.56,117.18,4.16,N/A,N/A,N/A,N/A,N/A,0.9,0.8,0.8,0.7,0.7,9,2,1.8,1.6,1.3,N/A,N/A,N/A,N/A,N/A,Rolling Hills 66/4 Kv,,,,,,0.9,0.8,0.8,0.7,0.7,9,2,1.8,1.6,1.3,,,,,,131.73,121.91,120.47,118.56,117.18,0.9,0.8,0.8,0.7,0.7,,,,,,0.9,0.8,0.8,0.7,0.7,,,,,,9,2,1.8,1.6,1.3,,,,,,,,,,,0.900000,0.8,0.8,0.7,0.7,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366115,36130.435419
Ditch,Gonzales 66/16 kV,02/24/2026,2025,Santa Clara 220/66,Santa Clara 220/66,5.2503,3.6503,3.8503,3.7503,3.7503,84.993500,21.977900,23.890500,28.086800,34.318800,0,0,0,0,0,16,N/A,N/A,N/A,N/A,N/A,5.2503,3.6503,3.8503,3.7503,3.7503,84.9935,21.9779,23.8905,28.0868,34.3188,N/A,N/A,N/A,N/A,N/A,Gonzales 66/16 Kv,,,,,,5.2503,3.6503,3.8503,3.7503,3.7503,84.9935,21.9779,23.8905,28.0868,34.3188,,,,,,0,0,0,0,0,5.2503,3.6503,3.8503,3.7503,3.7503,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366116,134290.643141
Cordon,Archline 66/12 kV,02/24/2026,2025,Etiwanda 220/66,Etiwanda 'W' 220/66,1,1.1,1,1,1,100.800000,0.882300,0.765000,0.647900,15.330800,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,1,1.1,1,1,1,100.8,0.8823,0.765,0.6479,15.3308,N/A,N/A,N/A,N/A,N/A,Archline 66/12 Kv,,,,,,1,1.1,1,1,1,100.8,0.8823,0.765,0.6479,15.3308,,,,,,0,0,0,0,0,1,0.8823,0.765,0.6479,1,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366117,83519.214998
Fogcutter,Chiquita 66/12 kV,02/24/2026,2025,Viejo 220/66,Viejo 220/66,1.5,1.5,1.5,1.4,1.4,104.000000,1.100000,0.600000,3.000000,1.900000,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,1.5,1.5,1.5,1.4,1.4,104,1.1,0.6,3,1.9,N/A,N/A,N/A,N/A,N/A,Chiquita 66/12 Kv,,,,,,1.5,1.5,1.5,1.4,1.4,104,1.1,0.6,3,1.9,,,,,,0,0,0,0,0,1.5,1.1,0.6,1.4,1.4,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366118,85782.794795
Deloro,Apple Valley 115/12 kV,02/24/2026,2025,Victor 220/115,Victor 220/115,1.3,1.3,1.2,1.2,3.2,85.356600,19.811400,21.771200,24.317000,26.868400,200.2,110.46,145.66,124.91,169.77,12,N/A,N/A,N/A,N/A,N/A,1.3,1.3,1.2,1.2,3.2,85.3566,19.8114,21.7712,24.317,26.8684,N/A,N/A,N/A,N/A,N/A,Apple Valley 115/12 Kv,,,,,,1.3,1.3,1.2,1.2,3.2,85.3566,19.8114,21.7712,24.317,26.8684,,,,,,200.2,110.46,145.66,124.91,169.77,1.3,1.3,1.2,1.2,3.2,,,,,,1.3,1.3,1.2,1.2,3.2,,,,,,85.3566,19.8114,21.7712,24.317,26.8684,,,,,,,,,,,1.300000,1.3,1.2,1.2,3.2,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366119,184899.206870
Brahma,Bovine 66/12 kV,02/24/2026,2025,Del Amo 220/66,Del Amo 'C'  220/66,1.4,1.3,1.3,1.2,1.1,54.000000,5.200000,5.200000,5.200000,4.800000,0,0.9,0,3.52,3.22,12,N/A,N/A,N/A,N/A,N/A,1.4,1.3,1.3,1.2,1.1,54,5.2,5.2,5.2,4.8,N/A,N/A,N/A,N/A,N/A,Bovine 66/12 Kv,,,,,,1.4,1.3,1.3,1.2,1.1,54,5.2,5.2,5.2,4.8,,,,,,0,0.9,0,3.52,3.22,1.4,1.3,1.3,1.2,1.1,,,,,,0,0.9,0,1.2,1.1,,,,,,0,0.9,0,3.52,3.22,,,,,,,,,,,0.000000,0.9,0,1.2,1.1,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366120,79233.677613
Cassini,Gisler 66/12 kV,02/24/2026,2025,Ellis 'C' 220/66,Ellis 'C' 220/66,9.1634,9.1634,9.1634,9.2634,9.2634,100.283200,0.339200,3.748900,13.448200,51.003000,262.44,249.94,244.6,247.71,245.63,12,N/A,N/A,N/A,N/A,N/A,9.1634,9.1634,9.1634,9.2634,9.2634,100.2832,0.3392,3.7489,13.4482,51.003,N/A,N/A,N/A,N/A,N/A,Gisler 66/12 Kv,,,,,,9.1634,9.1634,9.1634,9.2634,9.2634,100.2832,0.3392,3.7489,13.4482,51.003,,,,,,262.44,249.94,244.6,247.71,245.63,9.1634,0.3392,3.7489,9.2634,9.2634,,,,,,9.1634,9.1634,9.1634,9.2634,9.2634,,,,,,100.2832,0.3392,3.7489,13.4482,51.003,,,,,,,,,,,9.163400,0.3392,3.7489,9.2634,9.2634,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366121,33529.989660
Apex,Laguna Bell 66/16 kV,02/24/2026,2025,Laguna Bell Ab 220/66,Laguna Bell 'Ab' 220/66,7.8607,7.8607,7.8607,7.8607,7.9607,61.751500,15.636600,23.480200,32.709300,73.768700,200.51,196.96,188.11,162.43,131.46,16,N/A,N/A,N/A,N/A,N/A,7.8607,7.8607,7.8607,7.8607,7.9607,61.7515,15.6366,23.4802,32.7093,73.7687,N/A,N/A,N/A,N/A,N/A,Laguna Bell 66/16 Kv,,,,,,7.8607,7.8607,7.8607,7.8607,7.9607,61.7515,15.6366,23.4802,32.7093,73.7687,,,,,,200.51,196.96,188.11,162.43,131.46,7.8607,7.8607,7.8607,7.8607,7.9607,,,,,,7.8607,7.8607,7.8607,7.8607,7.9607,,,,,,61.7515,15.6366,23.4802,32.7093,73.7687,,,,,,,,,,,7.860700,7.8607,7.8607,7.8607,7.9607,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366122,22673.945603
American,Riverway 66/12 kV,02/24/2026,2025,Rector 220/66,Rector 220/66,0.6819,0.7819,3.3819,3.3819,3.3819,56.000000,6.600000,7.400000,6.200000,5.400000,37,133.63,130.87,130.17,129.64,12,N/A,N/A,N/A,N/A,N/A,0.6819,0.7819,3.3819,3.3819,3.3819,56,6.6,7.4,6.2,5.4,N/A,N/A,N/A,N/A,N/A,Riverway 66/12 Kv,,,,,,0.6819,0.7819,3.3819,3.3819,3.3819,56,6.6,7.4,6.2,5.4,,,,,,37,133.63,130.87,130.17,129.64,0.6819,0.7819,3.3819,3.3819,3.3819,,,,,,0.6819,0.7819,3.3819,3.3819,3.3819,,,,,,37,6.6,7.4,6.2,5.4,,,,,,,,,,,0.681900,0.7819,3.3819,3.3819,3.3819,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366123,121186.500961
Hirsch,Brookhurst 66/12 kV,02/24/2026,2025,Ellis 'C' 220/66,Ellis 'C' 220/66,2,2,1.9,1.8,1.7,40.000000,0.000000,0.000000,0.000000,14.200000,262.44,249.94,244.6,247.71,245.63,12,N/A,N/A,N/A,N/A,N/A,2,2,1.9,1.8,1.7,40,0,0,0,14.2,N/A,N/A,N/A,N/A,N/A,Brookhurst 66/12 Kv,,,,,,2,2,1.9,1.8,1.7,40,0,0,0,14.2,,,,,,262.44,249.94,244.6,247.71,245.63,2,0,0,0,1.7,,,,,,2,2,1.9,1.8,1.7,,,,,,40,0,0,0,14.2,,,,,,,,,,,2.000000,0,0,0,1.7,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366124,115352.204961
Rummy,Johanna 66/12 kV,02/24/2026,2025,Johanna 220/66,Johanna 220/66,7.4,7.5,7.5,7.5,7.5,76.145900,0.000000,3.534300,17.648200,79.351300,261.32,233.31,225.71,216.91,216.41,12,N/A,N/A,N/A,N/A,N/A,7.4,7.5,7.5,7.5,7.5,76.1459,0,3.5343,17.6482,79.3513,N/A,N/A,N/A,N/A,N/A,Johanna 66/12 Kv,,,,,,7.4,7.5,7.5,7.5,7.5,76.1459,0,3.5343,17.6482,79.3513,,,,,,261.32,233.31,225.71,216.91,216.41,7.4,0,3.5343,7.5,7.5,,,,,,7.4,7.5,7.5,7.5,7.5,,,,,,76.1459,0,3.5343,17.6482,79.3513,,,,,,,,,,,7.400000,0,3.5343,7.5,7.5,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366125,25995.587495
Myda,Ravendale 66/4 kV,02/24/2026,2025,Mesa 220/66,Mesa 220/66,0.3,0.3,0.3,0.3,0.3,14.000000,5.000000,5.000000,4.900000,4.800000,0,0,0,0,0,4.16,N/A,N/A,N/A,N/A,N/A,0.3,0.3,0.3,0.3,0.3,14,5,5,4.9,4.8,N/A,N/A,N/A,N/A,N/A,Ravendale 66/4 Kv,,,,,,0.3,0.3,0.3,0.3,0.3,14,5,5,4.9,4.8,,,,,,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366126,27573.747181
Vitamin,Timoteo 66/12 kV,02/24/2026,2025,San Bernardino 220/66,San Bernardino 220/66,2.4,2.4,2.4,2.4,2.5,100.800000,7.700000,7.800000,7.900000,7.900000,0,0,0,0,172.31,12,N/A,N/A,N/A,N/A,N/A,2.4,2.4,2.4,2.4,2.5,100.8,7.7,7.8,7.9,7.9,N/A,N/A,N/A,N/A,N/A,Timoteo 66/12 Kv,,,,,,2.4,2.4,2.4,2.4,2.5,100.8,7.7,7.8,7.9,7.9,,,,,,0,0,0,0,172.31,2.4,2.4,2.4,2.4,2.5,,,,,,0,0,0,0,2.5,,,,,,0,0,0,0,7.9,,,,,,,,,,,0.000000,0,0,0,2.5,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366127,82641.603943
Billy,Fogarty 115/12 kV,02/24/2026,2025,Valley 'D' 500/115,Valley 'Efg' 500/115,12,12,12,12,12,56.000000,20.900000,20.281500,21.238900,23.441300,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,12,12,12,12,12,56,20.9,20.2815,21.2389,23.4413,N/A,N/A,N/A,N/A,N/A,Fogarty 115/12 Kv,,,,,,12,12,12,12,12,56,20.9,20.2815,21.2389,23.4413,,,,,,0,0,0,0,0,12,12,12,12,12,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366128,
Barwick,Barwick P.t. 16/2.4 kV,02/24/2026,2025,Goleta 220/66,Goleta 220/66,0.1,0.1,0.1,0.1,0.1,0.200000,0.100000,0.100000,0.100000,0.100000,11.49,0,0,0,301.61,2.4,N/A,N/A,N/A,N/A,N/A,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,N/A,N/A,N/A,N/A,N/A,Barwick P.t. 16/2.4 Kv,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,,,,,,11.49,0,0,0,301.61,0.1,0.1,0.1,0.1,0.1,,,,,,0.1,0,0,0,0.1,,,,,,0.2,0,0,0,0.1,,,,,,,,,,,0.100000,0,0,0,0.1,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366129,2181.732107
Sampras,Wimbledon 66/12 kV,02/24/2026,2025,Etiwanda 220/66,Etiwanda 'E' 220/66,5.3,5.5,5.8,5.9,5.9,104.712700,29.670600,29.639200,37.300600,45.445700,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,5.3,5.5,5.8,5.9,5.9,104.7127,29.6706,29.6392,37.3006,45.4457,N/A,N/A,N/A,N/A,N/A,Wimbledon 66/12 Kv,,,,,,5.3,5.5,5.8,5.9,5.9,104.7127,29.6706,29.6392,37.3006,45.4457,,,,,,0,0,0,0,0,5.3,5.5,5.8,5.9,5.9,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366130,54059.477026
Pedro,San Miguel 66/16 kV,02/24/2026,2025,Santa Clara 220/66,Santa Clara 220/66,2.4881,2.4881,2.5881,2.5881,2.6881,80.703400,25.223000,28.279700,35.521600,43.179200,0,0,0,0,0,16,N/A,N/A,N/A,N/A,N/A,2.4881,2.4881,2.5881,2.5881,2.6881,80.7034,25.223,28.2797,35.5216,43.1792,N/A,N/A,N/A,N/A,N/A,San Miguel 66/16 Kv,,,,,,2.4881,2.4881,2.5881,2.5881,2.6881,80.7034,25.223,28.2797,35.5216,43.1792,,,,,,0,0,0,0,0,2.4881,2.4881,2.5881,2.5881,2.6881,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366131,126264.891687
Homer,Lemon Cove 66/12 kV,02/24/2026,2025,Rector 220/66,Rector 220/66,3.9,3.9,3.9,3.9,3.9,28.000000,28.200000,28.200000,28.200000,28.200000,37,133.63,130.87,130.17,129.64,12,N/A,N/A,N/A,N/A,N/A,3.9,3.9,3.9,3.9,3.9,28,28.2,28.2,28.2,28.2,N/A,N/A,N/A,N/A,N/A,Lemon Cove 66/12 Kv,,,,,,3.9,3.9,3.9,3.9,3.9,28,28.2,28.2,28.2,28.2,,,,,,37,133.63,130.87,130.17,129.64,3.9,3.9,3.9,3.9,3.9,,,,,,3.9,3.9,3.9,3.9,3.9,,,,,,28,28.2,28.2,28.2,28.2,,,,,,,,,,,3.900000,3.9,3.9,3.9,3.9,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366132,123834.065616
Ralston,Wabash 66/16 kV,02/24/2026,2025,Mesa 220/66,Mesa 220/66,8,7.8,7.8,7.7,7.7,56.418700,48.670600,48.543200,50.813400,52.981000,0,0,0,0,0,16,N/A,N/A,N/A,N/A,N/A,8,7.8,7.8,7.7,7.7,56.4187,48.6706,48.5432,50.8134,52.981,N/A,N/A,N/A,N/A,N/A,Wabash 66/16 Kv,,,,,,8,7.8,7.8,7.7,7.7,56.4187,48.6706,48.5432,50.8134,52.981,,,,,,0,0,0,0,0,8,7.8,7.8,7.7,7.7,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366133,45828.186582
Kingsway,Alessandro 115/12 kV,02/24/2026,2025,Valley 'Ab' 500/115,Valley 'Abcd' 500/115,1.2,1.5,1.8,2.1,2.2,101.791800,6.876300,14.706500,30.022100,43.630400,190.54,173.86,148.37,138.22,120.08,12,N/A,N/A,N/A,N/A,N/A,1.2,1.5,1.8,2.1,2.2,101.7918,6.8763,14.7065,30.0221,43.6304,N/A,N/A,N/A,N/A,N/A,Alessandro 115/12 Kv,,,,,,1.2,1.5,1.8,2.1,2.2,101.7918,6.8763,14.7065,30.0221,43.6304,,,,,,190.54,173.86,148.37,138.22,120.08,1.2,1.5,1.8,2.1,2.2,,,,,,1.2,1.5,1.8,2.1,2.2,,,,,,101.7918,6.8763,14.7065,30.0221,43.6304,,,,,,,,,,,1.200000,1.5,1.8,2.1,2.2,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366134,93805.569607
Tool,Industry 66/12 kV,02/24/2026,2025,Walnut 220/66,Walnut 220/66,3.3,3.3,3.4,3.4,3.4,104.606700,30.426900,39.187100,46.632500,53.877800,0,0,0,130.58,128.95,12,N/A,N/A,N/A,N/A,N/A,3.3,3.3,3.4,3.4,3.4,104.6067,30.4269,39.1871,46.6325,53.8778,N/A,N/A,N/A,N/A,N/A,Industry 66/12 Kv,,,,,,3.3,3.3,3.4,3.4,3.4,104.6067,30.4269,39.1871,46.6325,53.8778,,,,,,0,0,0,130.58,128.95,3.3,3.3,3.4,3.4,3.4,,,,,,0,0,0,3.4,3.4,,,,,,0,0,0,46.6325,53.8778,,,,,,,,,,,0.000000,0,0,3.4,3.4,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366135,51689.532307
Vaca,Borrego 66/12 kV,02/24/2026,2025,Santiago 220/66,Santiago 'C' 220/66,5.8883,5.7825,5.7825,5.7825,5.6825,84.770600,33.082800,34.880800,38.096000,44.546900,147.11,132.82,133.35,109.64,103.92,12,N/A,N/A,N/A,N/A,N/A,5.8883,5.7825,5.7825,5.7825,5.6825,84.7706,33.0828,34.8808,38.096,44.5469,N/A,N/A,N/A,N/A,N/A,Borrego 66/12 Kv,,,,,,5.8883,5.7825,5.7825,5.7825,5.6825,84.7706,33.0828,34.8808,38.096,44.5469,,,,,,147.11,132.82,133.35,109.64,103.92,5.8883,5.7825,5.7825,5.7825,5.6825,,,,,,5.8883,5.7825,5.7825,5.7825,5.6825,,,,,,84.7706,33.0828,34.8808,38.096,44.5469,,,,,,,,,,,5.888300,5.7825,5.7825,5.7825,5.6825,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366136,50072.939752
Aquifer,Octol 66/12 kV,02/24/2026,2025,Rector 220/66,Rector 220/66,3.4431,3.0431,3.2431,3.3431,3.3431,56.683800,38.044800,31.878700,33.111500,34.446500,37,133.63,130.87,130.17,129.64,12,N/A,N/A,N/A,N/A,N/A,3.4431,3.0431,3.2431,3.3431,3.3431,56.6838,38.0448,31.8787,33.1115,34.4465,N/A,N/A,N/A,N/A,N/A,Octol 66/12 Kv,,,,,,3.4431,3.0431,3.2431,3.3431,3.3431,56.6838,38.0448,31.8787,33.1115,34.4465,,,,,,37,133.63,130.87,130.17,129.64,3.4431,3.0431,3.2431,3.3431,3.3431,,,,,,3.4431,3.0431,3.2431,3.3431,3.3431,,,,,,37,38.0448,31.8787,33.1115,34.4465,,,,,,,,,,,3.443100,3.0431,3.2431,3.3431,3.3431,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366137,145530.348463
Samar,South Gate 16/4 kV,02/24/2026,2025,Laguna Bell De 220/66,Laguna Bell 'De' 220/66,2,2,2,2,2,12.000000,0.000000,1.000000,0.900000,0.600000,307.3,256.61,227.84,205.61,181.03,4.16,N/A,N/A,N/A,N/A,N/A,2,2,2,2,2,12,0,1,0.9,0.6,N/A,N/A,N/A,N/A,N/A,South Gate 16/4 Kv,,,,,,2,2,2,2,2,12,0,1,0.9,0.6,,,,,,307.3,256.61,227.84,205.61,181.03,2,0,1,0.9,0.6,,,,,,2,2,2,2,2,,,,,,12,0,1,0.9,0.6,,,,,,,,,,,2.000000,0,1,0.9,0.6,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366138,13201.616050
Coliseum,Stadium 66/12 kV,02/24/2026,2025,Alamitos 220/66,Alamitos 220/66,5.3,5.3,5.3,8.2,8.1,115.545800,53.568700,61.780400,70.472700,82.239400,133.3,126.83,132.58,130.46,129.31,12,N/A,N/A,N/A,N/A,N/A,5.3,5.3,5.3,8.2,8.1,115.5458,53.5687,61.7804,70.4727,82.2394,N/A,N/A,N/A,N/A,N/A,Stadium 66/12 Kv,,,,,,5.3,5.3,5.3,8.2,8.1,115.5458,53.5687,61.7804,70.4727,82.2394,,,,,,133.3,126.83,132.58,130.46,129.31,5.3,5.3,5.3,8.2,8.1,,,,,,5.3,5.3,5.3,8.2,8.1,,,,,,115.5458,53.5687,61.7804,70.4727,82.2394,,,,,,,,,,,5.300000,5.3,5.3,8.2,8.1,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366139,29977.764100
Nasa,Shuttle 66/12 kV,02/24/2026,2025,Antelope 220/66,Antelope 220/66,0,0,6,5.3,4.9,102.445200,0.000000,18.474600,28.574000,59.331000,214.35,179.5,60.98,50.45,40.93,12,N/A,N/A,N/A,N/A,N/A,0,0,6,5.3,4.9,102.4452,0,18.4746,28.574,59.331,N/A,N/A,N/A,N/A,N/A,Shuttle 66/12 Kv,,,,,,0,0,6,5.3,4.9,102.4452,0,18.4746,28.574,59.331,,,,,,214.35,179.5,60.98,50.45,40.93,0,0,6,5.3,4.9,,,,,,0,0,6,5.3,4.9,,,,,,102.4452,0,18.4746,28.574,40.93,,,,,,,,,,,0.000000,0,6,5.3,4.9,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366140,113876.348778
Punch,Chiquita 66/12 kV,02/24/2026,2025,Viejo 220/66,Viejo 220/66,2.2,2.1,2,1.9,1.8,104.000000,1.100000,0.600000,3.000000,1.900000,0,0,0,0,0,12,N/A,N/A,N/A,N/A,N/A,2.2,2.1,2,1.9,1.8,104,1.1,0.6,3,1.9,N/A,N/A,N/A,N/A,N/A,Chiquita 66/12 Kv,,,,,,2.2,2.1,2,1.9,1.8,104,1.1,0.6,3,1.9,,,,,,0,0,0,0,0,2.2,1.1,0.6,1.9,1.8,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366141,148905.980678
Danes,San Gabriel 66/4 kV,02/24/2026,2025,Mesa 220/66,Mesa 220/66,0.6,0.6,0.6,0.6,0.5,25.000000,4.800000,4.600000,4.500000,4.500000,0,0,0,0,0,4.16,N/A,N/A,N/A,N/A,N/A,0.6,0.6,0.6,0.6,0.5,25,4.8,4.6,4.5,4.5,N/A,N/A,N/A,N/A,N/A,San Gabriel 66/4 Kv,,,,,,0.6,0.6,0.6,0.6,0.5,25,4.8,4.6,4.5,4.5,,,,,,0,0,0,0,0,0.6,0.6,0.6,0.6,0.5,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,0.000000,0,0,0,0,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366142,20249.414648
Pint,Lighthipe 66/12 kV,02/24/2026,2025,Lighthipe 220/66,Lighthipe 'Def' 220/66,3.2,3.3,3.3,3.3,3.3,52.173900,15.089000,13.900400,15.818100,17.735800,128.62,74.82,64.76,66.17,66.71,12,N/A,N/A,N/A,N/A,N/A,3.2,3.3,3.3,3.3,3.3,52.1739,15.089,13.9004,15.8181,17.7358,N/A,N/A,N/A,N/A,N/A,Lighthipe 66/12 Kv,,,,,,3.2,3.3,3.3,3.3,3.3,52.1739,15.089,13.9004,15.8181,17.7358,,,,,,128.62,74.82,64.76,66.17,66.71,3.2,3.3,3.3,3.3,3.3,,,,,,3.2,3.3,3.3,3.3,3.3,,,,,,52.1739,15.089,13.9004,15.8181,17.7358,,,,,,,,,,,3.200000,3.3,3.3,3.3,3.3,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,Yes,No,366143,50167.661734
Rhoads,San Dimas 66/12 kV,02/24/2026,2025,Padua 220/66,Padua 220/66,2,2,1.9,1.9,1.8,95.224700,12.834300,27.999000,28.420100,28.803300,0,0,0,57.72,50.47,12,N/A,N/A,N/A,N/A,N/A,2,2,1.9,1.9,1.8,95.2247,12.8343,27.999,28.4201,28.8033,N/A,N/A,N/A,N/A,N/A,San Dimas 66/12 Kv,,,,,,2,2,1.9,1.9,1.8,95.2247,12.8343,27.999,28.4201,28.8033,,,,,,0,0,0,57.72,50.47,2,2,1.9,1.9,1.8,,,,,,0,0,0,1.9,1.8,,,,,,0,0,0,28.4201,28.8033,,,,,,,,,,,0.000000,0,0,1.9,1.8,,,,,,,,,,,,,,,,AVL_LOAD_CAP_FULL_SUBMITTAL,No,No,366144,90090.150802
